0001-TitanKnqjevo,ТитанКняжево
0002-TransSekuriti,ТрансСекюрити
0003-Zimnica,Зимница
0004-PodgumerZoo,ПодгумерЗоо
0005-Bojurishte,Божурище
0006-BersKafe,БерсКафе
0007-SvetaEkaterina,СветаЕкатерина
0008-MBAL5vatreshno,МБАЛ5Вътрешно
0009-dkc28,дкц28
0010-TitanPodgumer,ТитанПодгумер
0011-OBB,ОББ
0012-VITIZ,ВИТИЗ
0013-TVplus,ТВплюс
0014-TitanDrujba,ТитанДружба
0015-MBAL5cardiologiq,МБАЛ5Кардиология
0016-MTSPet5cafe,МТСПетаж5кафе
0017-Sekuriti,Секюрити
0018-CKB,ЦКБ
0019-DKC26,ДКЦ26
0020-ODZ,ОДЗ
0021-RavnoPole,РавноПоле
0022-QnBibiqn,ЯнБибиян
0023-MBAL5hirurgiq,МБАЛ5хирургия
0024-VivacomSaharovKafe,ВивакомСахаровКафе
0025-Oborishte,Оборище
0026-MBAL5asansioriKafe,МБАЛ5асансьориКафе
0027-Bejanci,Бежанци
0028-BCHK,БЧК
0029-Magtreid,Магтрейд
0030-TitanZaubermaher,ТитанЗаубермахер
0031-DKC25neotlojno,ДКЦ25неотложно
0032-SGPcafe,СГПкафе
0033-MtelGPS,МтелГПС
0034-OFIS,офис
0035-MTSPparterHladilna,МТСПпартерХладилна
0036-NCZPBkafe,НЦЗПБкафе
0037-DKC25et1,ДКЦ25етаж1
0038-MTSPet5hladilna,МТСП,етаж5хладилна
0039-BTVspacio,БТВспацио
0040-Virusologiq,Вирусология 
0041-MTSPet2,МТСПетаж2
0042-MBAL5nevroHladilna,МБАЛ5невроХладилна
0043-VoenenKlub,ВоененКлуб
0044-Okrajna,Окръжна
0045-MBAL5foaieHladilna,МБАЛ5фоайеХладилна
0046-MBAL5nevroKafe,МБАЛ5невроКафе
0047-BersHladilna,БерсХладилна
0048-AlexsandrovskaCafe,АлександровскаКафе
0049-MtelElektron,МтелЕлектрон
0050-INP,ИНП
0051-BroniranoMladost,БронираноМладост
0052-Electrotransport,Електротранспорт
0053-MBAL5asansioriHladilna,МБАЛ5асансьориХладилна
0054-CEZ,ЧЕЗ
0055-MBAL5Kafe,МБАЛ5фоайеКафе
0056-Sapir,Сапир
0057-DKC25et2,ДКЦ25етаж2
0058-Fantastico,Фантастико
0059-USBALEet13,УСБАЛЕетаж13
0060-Poduqne,Подуене
0061-MTSPparterCafe,МТСПпартерКафе
0062-SGPhladilna,СГПхладилна
0063-VoennaCanto,ВоеннаКанто
0064-NCZPBhladilna,НЦЗПБхладилна
0065-USBALEet10cafe,УСБАЛЕетаж10кафе
0066-KalimanKafe,КалиманКафе
0067-Sama,Сама
0068-KalimanHladilna,КалиманХладилна
0069-VivacomHajdushkaKron,ВивакомХайдушкаКрон
0070-AlexsandrovskaHladilna,АлександровскаХладилна
0071-Prezidetstvo,Президентство
0072-Stambolijski,Стамболийски
0073-StroejHladilna,СтроежХладилна
0074-StroejCafe,СтроежКафе
0075-TUcafe,ТУкафе
0076-VivacomHajdushkaNciom,ВивакомХайдушкаКафе
0077-ObshejitieCafe,ОбщежитиеКафе
0078-Jandarmeriq,Жандармерия
0079-Avantajm,Авантайм
0080-USBALEet11,УСБАЛЕетаж11
0081-DKC12,ДКЦ12
0082-OFIS,офис
0083-VivacomSaharovHladilna,ВивакомСахаровХладилна
0084-28dkcHladilna,28дкцХладилна
0085-ObshejitieHladlina,ОбщежитиеХладилна
0086-NSScafe,НССкафе
0087-TUhladilna,ТУхладилна
0088-NSShladilna,НССхладилна
0089-Cranostroene,Краностроене
0090-OFIS,офис
0091-USBALEet10hladilna,УСБАЛЕхладилна
0092-ofis
0093-VivacomHajdushkaHladilna,ВивакомХайдушкаХладилна
0094-Nonvotex,Нонвотекс
0095-EzikovCentar,ЕзиковЦентър
0096-OFIS,офис
0097-OFIS,офис
0098-OFIS,офис
